biome,site,value,disturbance_ha,openforest_ha,year,cluster,x,y
boreal,LAHEMAA,13,0,0,2013,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,14,0,0,2014,2,26.037399507301718,59.58148028056476
boreal,MALTIO,1,1.3499999999999999,9360,2001,1,28.71938564936895,67.39581934033298
boreal,MALTIO,2,0.27,9360,2002,1,28.71938564936895,67.39581934033298
boreal,MALTIO,3,0.09,9360,2003,1,28.71938564936895,67.39581934033298
boreal,MALTIO,4,0,9360,2004,1,28.71938564936895,67.39581934033298
boreal,MALTIO,5,0,9360,2005,1,28.71938564936895,67.39581934033298
boreal,MALTIO,6,0.27,9360,2006,1,28.71938564936895,67.39581934033298
boreal,MALTIO,7,0.09,9360,2007,1,28.71938564936895,67.39581934033298
boreal,MALTIO,8,0,9360,2008,1,28.71938564936895,67.39581934033298
boreal,MALTIO,9,0.18,9360,2009,1,28.71938564936895,67.39581934033298
boreal,MALTIO,10,0,9360,2010,1,28.71938564936895,67.39581934033298
boreal,MALTIO,11,0.63,9360,2011,1,28.71938564936895,67.39581934033298
boreal,MALTIO,12,0.18,9360,2012,1,28.71938564936895,67.39581934033298
boreal,MALTIO,13,0.09,9360,2013,1,28.71938564936895,67.39581934033298
boreal,MALTIO,14,0.36,9360,2014,1,28.71938564936895,67.39581934033298
boreal,MPECHORO,1,33.12,48240,2001,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,2,29.52,48240,2002,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,3,3.5999999999999996,48240,2003,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,4,11.79,48240,2004,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,5,5.13,48240,2005,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,6,25.02,48240,2006,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,7,7.199999999999999,48240,2007,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,8,8.549999999999999,48240,2008,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,9,5.22,48240,2009,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,10,41.04,48240,2010,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,11,6.93,48240,2011,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,12,10.889999999999999,48240,2012,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,13,1.17,48240,2013,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,14,1.3499999999999999,48240,2014,2,58.81045237460245,62.50991174383526
boreal,MUDDUS,1,0,46080,2001,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,2,0.18,46080,2002,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,3,0.09,46080,2003,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,4,1.6199999999999999,46080,2004,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,5,0.18,46080,2005,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,6,1.26,46080,2006,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,7,0.63,46080,2007,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,8,43.11,46080,2008,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,9,0.09,46080,2009,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,10,1.17,46080,2010,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,11,1.53,46080,2011,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,12,12.78,46080,2012,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,13,6.93,46080,2013,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,14,3.51,46080,2014,2,20.197333506389757,66.91631560674142
boreal,NAHANNI,1,323.19,1046592,2001,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,2,455.66999999999996,1046592,2002,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,3,76.95,1046592,2003,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,4,987.8399999999999,1046592,2004,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,5,681.75,1046592,2005,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,6,223.73999999999998,1046592,2006,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,7,647.4599999999999,1046592,2007,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,8,368.01,1046592,2008,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,9,204.75,1046592,2009,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,10,249.66,1046592,2010,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,11,101.52,1046592,2011,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,12,1711.35,1046592,2012,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,13,2284.38,1046592,2013,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,14,584.73,1046592,2014,3,-125.88845506098424,61.609321488469774
boreal,NATASHQUAN,1,8.73,66960,2001,3,-61.62849197152997,51.542174187174844
boreal,NATASHQUAN,2,93.6,66960,2002,3,-61.62849197152997,51.542174187174844
boreal,NATASHQUAN,3,0,66960,2003,3,-61.62849197152997,51.542174187174844
boreal,NATASHQUAN,4,21.33,66960,2004,3,-61.62849197152997,51.542174187174844
boreal,NATASHQUAN,5,2954.6099999999997,66960,2005,3,-61.62849197152997,51.542174187174844
boreal,NATASHQUAN,6,204.03,66960,2006,3,-61.62849197152997,51.542174187174844
boreal,NATASHQUAN,7,570.24,66960,2007,3,-61.62849197152997,51.542174187174844
